ID,Regions,Periods,Within10Km_72,Within20Km_73,Within50Km_74,Within10Km_75,Within20Km_76,Within50Km_77,Within10Km_78,Within20Km_79,Within50Km_80,Within10Km_81,Within20Km_82,Within50Km_83,Within10Km_84,Within20Km_85,Within50Km_86
264,PV29,2018JJ00,21.3,39.4,164.0,0.2,0.6,2.7,3.6,7.2,30.5,9.1,17.1,73.9,7.7,13.2,51.5
265,PV29,2019JJ00,22.0,40.6,169.8,0.3,0.7,2.9,3.7,7.3,31.0,9.3,17.6,76.5,8.1,13.9,54.2
266,PV29,2020JJ00,22.4,41.4,174.1,0.3,0.7,3.1,3.8,7.6,32.3,9.5,17.9,79.1,8.4,14.4,56.3
267,PV29,2021JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
268,PV29,2022JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
269,PV29,2023JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
270,PV30,2006JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
271,PV30,2007JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
272,PV30,2008JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
273,PV30,2009JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
274,PV30,2010JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
275,PV30,2011JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
276,PV30,2012JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
277,PV30,2013JJ00,83.7,230.2,1095.6,0.6,2.7,15.2,14.1,41.2,194.3,42.8,116.3,549.1,26.3,70.0,336.9
278,PV30,2014JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
279,PV30,2015JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
280,PV30,2016JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
281,PV30,2017JJ00,93.4,253.0,1193.4,0.6,2.5,14.7,14.4,42.2,197.2,49.5,131.5,613.1,26.4,70.2,339.0
282,PV30,2018JJ00,96.3,261.0,1228.6,0.6,2.7,15.3,14.6,43.0,199.7,50.6,133.9,623.9,26.5,70.6,339.8
283,PV30,2019JJ00,98.8,266.2,1255.8,0.6,2.7,15.6,15.2,44.4,206.0,51.3,135.4,634.4,27.6,72.8,349.6
