;1996;2000;2003;2006;2008;2010;2012;2015;2017
GM1937;('79', '9');('80', '9');('82', '20');('84', '21');('', '');('', '');('', '');('', '')
GM0247;('31', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0398;('174', '40');('172', '46');('176', '53');('183', '46');('191', '47');('198', '111');('193', '112');('199', '114')
GM0526;('20', '2');('19', '2');('', '');('', '');('', '');('', '');('', '');('', '')
GM0793;('52', '6');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM1658;('', '');('153', '10');('152', '8');('155', '10');('156', '8');('157', '7');('156', '7');('155', '8')
GM0162;('90', '0');('94', '0');('', '');('', '');('', '');('', '');('', '');('', '')
GM0918;('196', '7');('196', '7');('196', '10');('196', '9');('198', '6');('', '');('', '');('', '')
GM0530;('168', '26');('163', '30');('167', '70');('169', '75');('178', '60');('178', '62');('173', '67');('163', '84')
GM0531;('74', '27');('74', '27');('77', '29');('75', '31');('77', '31');('84', '31');('82', '31');('84', '33')
GM0248;('112', '4');('115', '5');('115', '7');('', '');('', '');('', '');('', '');('', '')
GM0796;('457', '272');('463', '284');('495', '389');('498', '399');('513', '367');('553', '365');('527', '359');('627', '359')
GM0251;('104', '0');('99', '1');('', '');('', '');('', '');('', '');('', '');('', '')
GM0920;('160', '9');('159', '12');('158', '16');('159', '10');('', '');('', '');('', '');('', '')
GM0253;('79', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0799;('122', '15');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0165;('228', '4');('227', '4');('', '');('', '');('', '');('', '');('', '');('', '')
GM0675;('311', '10');('315', '10');('', '');('', '');('', '');('', '');('', '');('', '')
GM0801;('67', '2');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0802;('117', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0800;('95', '6');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0018;('181', '86');('182', '86');('194', '82');('190', '81');('187', '89');('196', '89');('194', '98');('193', '103')
GM0923;('224', '0');('227', '0');('', '');('', '');('', '');('', '');('', '');('', '')
GM1507;('', '');('', '');('333', '12');('335', '12');('340', '12');('488', '11');('484', '11');('489', '11')
GM0803;('22', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0255;('40', '22');('37', '28');('', '');('', '');('', '');('', '');('', '');('', '')
GM0256;('97', '1');('100', '1');('97', '1');('', '');('', '');('', '');('', '');('', '')
GM0925;('118', '0');('119', '0');('119', '0');('119', '0');('', '');('', '');('', '');('', '')
GM0195;('184', '2');('184', '2');('', '');('', '');('', '');('', '');('', '');('', '')
GM0191;('240', '0');('238', '0');('', '');('', '');('', '');('', '');('', '');('', '')
GM0645;('97', '1');('102', '1');('105', '4');('106', '3');('107', '2');('', '');('', '');('', '')
GM0257;('146', '4');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0929;('54', '0');('54', '0');('55', '0');('54', '0');('55', '0');('', '');('', '');('', '')
GM0258;('82', '0');('82', '0');('320', '14');('', '');('', '');('', '');('', '');('', '')
GM0804;('139', '87');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0079;('196', '35');('203', '40');('222', '45');('218', '45');('221', '44');('226', '40');('214', '15');('211', '15')
GM0588;('190', '6');('191', '10');('205', '12');('205', '11');('197', '11');('192', '13');('177', '13');('172', '13')
GM0542;('29', '74');('29', '84');('28', '62');('29', '57');('29', '56');('29', '53');('30', '52');('30', '50')
GM1685;('206', '5');('206', '5');('207', '8');('207', '7');('217', '9');('219', '9');('217', '7');('217', '7')
